Provinsi,Produk Domestik Bruto/Produk Domestik Regional Bruto Atas Dasar Harga Berlaku (miliar rupiah) (Rp)
Aceh,164162.98
Sumatera Utara,799608.95
Sumatera Barat,245949.74
Riau,760247.51
Jambi,216927.71
Sumatera Selatan,453402.71
Bengkulu,72098.24
Lampung,356676.83
Kepulauan Bangka Belitung,75794.96
Kepulauan Riau,267631.48
DKI Jakarta,2815636.16
Jawa Barat,2123153.71
Jawa Tengah,1360960.13
DI Yogyakarta,141047.69
Jawa Timur,2345548.55
Banten,661321.34
Bali,251934.1
Nusa Tenggara Barat,132500.1
Nusa Tenggara Timur,106731.76
Kalimantan Barat,212150.33
Kalimantan Tengah,150046.1
Kalimantan Selatan,180557.64
Kalimantan Timur,652480.26
Kalimantan Utara,96509.93
Sulawesi Utara,130126.51
Sulawesi Tengah,185740.09
Sulawesi Selatan,504320.73
Sulawesi Tenggara,129225.15
Gorontalo,41145.45
Sulawesi Barat,46365.79
Maluku,46152.82
Maluku Utara,39695.49
Papua Barat,84356.97
Papua,189510.7
,
Catatan,
Perbedaan antara jumlah PDRB 34 Provinsi dan PDB Indonesia antara lain disebabkan oleh diskrepansi statistik.Data 2021: Angka sementaraData 2022: Angka sangat sementara,
The difference between the total of GRDP of 34 Provinces and the GDP of Indonesia due to the statistical discrepancies.Data 2021: Preliminary figuresData 2022: Very Preliminary figures,
