Provinsi,Produk Domestik Bruto/Produk Domestik Regional Bruto Atas Dasar Harga Berlaku (miliar rupiah) (Rp)
Aceh,129092.66
Sumatera Utara,571722.01
Sumatera Barat,179951.98
Riau,652761.63
Jambi,155065.66
Sumatera Selatan,331765.7
Bengkulu,50334.02
Lampung,252883.1
Kepulauan Bangka Belitung,60987.32
Kepulauan Riau,199570.39
DKI Jakarta,1989088.75
Jawa Barat,1524974.83
Jawa Tengah,1010986.64
DI Yogyakarta,101440.52
Jawa Timur,1691477.06
Banten,479300.44
Bali,176412.67
Nusa Tenggara Barat,105664.74
Nusa Tenggara Timur,76120.79
Kalimantan Barat,146653.55
Kalimantan Tengah,100063.52
Kalimantan Selatan,137056.12
Kalimantan Timur,505105.06
Kalimantan Utara,61722.39
Sulawesi Utara,91145.68
Sulawesi Tengah,107573.47
Sulawesi Selatan,340390.21
Sulawesi Tenggara,87714.48
Gorontalo,28493.42
Sulawesi Barat,32987.55
Maluku,34345.96
Maluku Utara,26638.3
Papua Barat,62888.03
Papua,150307.28
"Jumlah 34 Provinsi
Total of 34 Provinces",11526332.8
