Provinsi,Produk Domestik Bruto/Produk Domestik Regional Bruto Atas Dasar Harga Berlaku (miliar rupiah) (Rp)
Aceh,155910.98
Sumatera Utara,741347.43
Sumatera Barat,230367.22
Riau,752263.07
Jambi,207878.69
Sumatera Selatan,419392.16
Bengkulu,66402.99
Lampung,332446.07
Kepulauan Bangka Belitung,73113.28
Kepulauan Riau,248822.23
DKI Jakarta,2592606.57
Jawa Barat,1960627.65
Jawa Tengah,1268261.17
DI Yogyakarta,129818.36
Jawa Timur,2188766.35
Banten,613804.41
Bali,233636.77
Nusa Tenggara Barat,123868.02
Nusa Tenggara Timur,98930.19
Kalimantan Barat,194138.22
Kalimantan Tengah,138616.13
Kalimantan Selatan,171684.06
Kalimantan Timur,635498.68
Kalimantan Utara,85548.94
Sulawesi Utara,119512.68
Sulawesi Tengah,167135.77
Sulawesi Selatan,461774.74
Sulawesi Tenggara,118066.61
Gorontalo,37731.39
Sulawesi Barat,43457.83
Maluku,43047.09
Maluku Utara,36468.79
Papua Barat,79644.58
Papua,210600.57
,
Catatan,
Perbedaan antara jumlah PDRB 34 Provinsi dan PDB Indonesia antara lain disebabkan oleh diskrepansi statistik.Data 2021: Angka sementaraData 2022: Angka sangat sementara,
The difference between the total of GRDP of 34 Provinces and the GDP of Indonesia due to the statistical discrepancies.Data 2021: Preliminary figuresData 2022: Very Preliminary figures,
