Provinsi,Produk Domestik Bruto/Produk Domestik Regional Bruto Atas Dasar Harga Berlaku (miliar rupiah) (Rp)
Aceh,136843.82
Sumatera Utara,626062.91
Sumatera Barat,196099.18
Riau,681699.03
Jambi,171199.47
Sumatera Selatan,353866.96
Bengkulu,55384.17
Lampung,279417.62
Kepulauan Bangka Belitung,65048.23
Kepulauan Riau,216007.66
DKI Jakarta,2159073.62
Jawa Barat,1653238.42
Jawa Tengah,1087316.68
DI Yogyakarta,109962.35
Jawa Timur,1855738.43
Banten,517898.34
Bali,194089.58
Nusa Tenggara Barat,116464.76
Nusa Tenggara Timur,83742.79
Kalimantan Barat,161364.24
Kalimantan Tengah,111967.02
Kalimantan Selatan,146090.43
Kalimantan Timur,508880.24
Kalimantan Utara,66041.81
Sulawesi Utara,100513.84
Sulawesi Tengah,120030.01
Sulawesi Selatan,377108.91
Sulawesi Tenggara,96994.76
Gorontalo,31697.56
Sulawesi Barat,35945.2
Maluku,37054.41
Maluku Utara,29150.6
Papua Barat,66631.08
Papua,173208.86
