Provinsi,Produk Domestik Bruto/Produk Domestik Regional Bruto Atas Dasar Harga Berlaku (miliar rupiah) (Rp)
Aceh,127897
Sumatera Utara,521955
Sumatera Barat,164944
Riau,679396
Jambi,144814
Sumatera Selatan,306422
Bengkulu,45390
Lampung,230794
Kepulauan Bangka Belitung,56374
Kepulauan Riau,180880
DKI Jakarta,1762316
Jawa Barat,1385825
Jawa Tengah,922471
DI Yogyakarta,92842
Jawa Timur,1537948
Banten,428740
Bali,156396
Nusa Tenggara Barat,81621
Nusa Tenggara Timur,68500
Kalimantan Barat,132345
Kalimantan Tengah,89890
Kalimantan Selatan,127882
Kalimantan Timur,527515
Kalimantan Utara,59184
Sulawesi Utara,80668
Sulawesi Tengah,90246
Sulawesi Selatan,298034
Sulawesi Tenggara,78622
Gorontalo,25194
Sulawesi Barat,29458
Maluku,31656
Maluku Utara,24042
Papua Barat,58181
Papua,133330
"Jumlah 34 Provinsi
Total of 34 Provinces",10681774
