Provinsi,Produk Domestik Bruto/Produk Domestik Regional Bruto Atas Dasar Harga Berlaku (miliar rupiah) (Rp)
Aceh,184979.88
Sumatera Utara,859934.26
Sumatera Barat,253100.2
Riau,839002.41
Jambi,232294.15
Sumatera Selatan,493636.85
Bengkulu,79602.64
Lampung,371198.88
Kepulauan Bangka Belitung,85961.29
Kepulauan Riau,275622.85
DKI Jakarta,2912885.34
Jawa Barat,2204660.23
Jawa Tengah,1419735.15
DI Yogyakarta,149413.65
Jawa Timur,2454792
Banten,665870.3
Bali,220466.43
Nusa Tenggara Barat,140115.27
Nusa Tenggara Timur,110881.41
Kalimantan Barat,231321.16
Kalimantan Tengah,169655.94
Kalimantan Selatan,197882.42
Kalimantan Timur,696632.67
Kalimantan Utara,111530.22
Sulawesi Utara,142620.42
Sulawesi Tengah,247280.35
Sulawesi Selatan,544857.14
Sulawesi Tenggara,139476.77
Gorontalo,43893.26
Sulawesi Barat,50565.53
Maluku,48893.68
Maluku Utara,52480.52
Papua Barat,85078.49
Papua Barat Daya,
Papua,235487.47
Papua Selatan,
Papua Tengah,
Papua Pegunungan,
,
Catatan,
Perbedaan antara jumlah PDRB 34 Provinsi dan PDB Indonesia antara lain disebabkan oleh diskrepansi statistik.Data 2022: Angka sementaraData 2023: Angka sangat sementara,
